suite,name,algorithm,data_size_bytes,throughput_mbps,mean_ms,stddev_ms,p95_ms,p99_ms,cv_percent,peak_mb,delta_mb,cpu_mean_pct,cpu_peak_pct,platform,timestamp
encryption,encrypt-1KB,CAGOULE,1024,3.603,0.271,0.085,0.2899,0.3043,31.35,0.0829,0.0085,0.0,0.0,x86_64,2026-04-27T17:03:15Z
encryption,decrypt-1KB,CAGOULE,1024,5.955,0.164,0.0688,0.2117,0.228,41.95,0.0354,0.0014,0.0,0.0,x86_64,2026-04-27T17:03:15Z
encryption,encrypt-1KB,AES-256-GCM,1024,191.436,0.0051,0.0006,0.0056,0.0065,11.73,0.0024,0.0013,0.0,0.0,x86_64,2026-04-27T17:03:15Z
encryption,decrypt-1KB,AES-256-GCM,1024,271.218,0.0036,0.0005,0.0039,0.0048,14.57,0.0023,0.0012,0.0,0.0,x86_64,2026-04-27T17:03:15Z
encryption,encrypt-1KB,ChaCha20-Poly1305,1024,209.976,0.0047,0.0004,0.0048,0.005,8.03,0.0023,0.0012,0.0,0.0,x86_64,2026-04-27T17:03:15Z
encryption,decrypt-1KB,ChaCha20-Poly1305,1024,250.296,0.0039,0.0003,0.004,0.0042,8.0,0.0023,0.0012,0.0,0.0,x86_64,2026-04-27T17:03:15Z
encryption,encrypt-8KB,CAGOULE,8192,3.448,2.2657,0.3304,2.6347,3.9105,14.58,0.6431,0.0629,0.0,0.0,x86_64,2026-04-27T17:03:16Z
encryption,decrypt-8KB,CAGOULE,8192,6.506,1.2009,0.0995,1.2935,1.62,8.28,0.2676,0.008,0.0,0.0,x86_64,2026-04-27T17:03:17Z
encryption,encrypt-8KB,AES-256-GCM,8192,1007.798,0.0078,0.0008,0.0088,0.0112,10.53,0.016,0.008,0.0,0.0,x86_64,2026-04-27T17:03:17Z
encryption,decrypt-8KB,AES-256-GCM,8192,1198.56,0.0065,0.0011,0.0088,0.0105,16.39,0.0159,0.008,0.0,0.0,x86_64,2026-04-27T17:03:17Z
encryption,encrypt-8KB,ChaCha20-Poly1305,8192,747.621,0.0104,0.0007,0.0123,0.0134,7.03,0.016,0.008,0.0,0.0,x86_64,2026-04-27T17:03:17Z
encryption,decrypt-8KB,ChaCha20-Poly1305,8192,831.112,0.0094,0.0006,0.0095,0.013,6.38,0.0159,0.008,0.0,0.0,x86_64,2026-04-27T17:03:17Z
encryption,encrypt-64KB,CAGOULE,65536,3.848,16.241,0.9122,17.9236,18.4065,5.62,5.1275,0.5004,0.0,0.0,x86_64,2026-04-27T17:03:25Z
encryption,decrypt-64KB,CAGOULE,65536,6.654,9.3931,0.9561,10.3224,12.9559,10.18,2.131,0.0667,0.0,0.0,x86_64,2026-04-27T17:03:30Z
encryption,encrypt-64KB,AES-256-GCM,65536,1796.989,0.0348,0.0066,0.0378,0.0609,18.87,0.1253,0.0627,0.0,0.0,x86_64,2026-04-27T17:03:30Z
encryption,decrypt-64KB,AES-256-GCM,65536,1984.369,0.0315,0.0029,0.0366,0.0383,9.22,0.1253,0.0627,0.0,0.0,x86_64,2026-04-27T17:03:30Z
